	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
		1	1	1	1	2	2	2	2	3	3	3	3	6	6	6	6
		no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr
		no w	no w	w	w	no w	no w	w	w	no w	no w	w	w	no w	no w	w	w
VARIABLES	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate
																	
		(1.86)	(696.65)	(1.95)	(640.41)	(1.01)	(362.99)	(0.96)	(308.54)	(0.24)	(108.64)	(0.37)	(124.44)	(0.64)	(264.17)	(0.74)	(200.06)
_Istate_39		-33.72	-3,759.82	-34.19	-4,010.51	-20.27	-1,666.79	-20.03	-1,690.21	2.23	-200.71	1.72	-347.54	-0.07	-1,798.03	-0.24	-1,968.93
		(2.59)	(822.73)	(2.52)	(754.56)	(1.41)	(428.68)	(1.24)	(363.61)	(0.33)	(128.30)	(0.50)	(147.36)	(0.89)	(311.98)	(1.00)	(236.27)
_Istate_40		0.81	-8,301.35	1.82	-8,339.44	4.26	-4,930.30	4.99	-5,002.00	5.81	-737.15	5.86	-643.31	-3.96	-1,002.77	-3.89	-959.06
		(0.37)	(304.42)	(0.44)	(289.95)	(0.20)	(158.62)	(0.22)	(139.93)	(0.05)	(47.47)	(0.08)	(57.20)	(0.13)	(115.44)	(0.16)	(90.26)
_Istate_41		2.24	-2,084.26	3.37	-2,083.74	6.38	-1,762.21	6.62	-1,673.54	6.13	62.52	6.51	-50.20	-5.26	-999.89	-4.89	-1,104.51
		(1.86)	(696.65)	(1.94)	(638.51)	(1.01)	(362.99)	(0.96)	(306.96)	(0.24)	(108.64)	(0.37)	(122.39)	(0.64)	(264.17)	(0.74)	(199.94)
_Istate_42		-29.91	-4,132.57	-28.81	-4,322.08	-12.78	-2,921.36	-12.52	-2,923.45	2.23	52.48	2.60	-72.60	-5.36	-1,150.32	-4.98	-1,301.72
		(1.86)	(696.65)	(1.94)	(638.81)	(1.01)	(362.99)	(0.95)	(308.07)	(0.24)	(108.64)	(0.36)	(124.73)	(0.64)	(264.17)	(0.73)	(199.47)
_Istate_44		-55.80	-3,228.45	-56.12	-3,352.45	-24.44	-2,264.43	-24.23	-2,269.73	1.62	403.89	1.31	309.36	-10.98	-426.57	-11.10	-533.76
		(1.39)	(601.64)	(1.36)	(552.77)	(0.76)	(313.48)	(0.67)	(266.78)	(0.18)	(93.82)	(0.28)	(110.36)	(0.48)	(228.14)	(0.56)	(171.80)
_Istate_45		-17.44	-415.21	-18.28	-583.55	-7.44	-322.58	-7.33	-363.04	1.13	-505.54	0.64	-638.45	-5.65	-1,218.30	-5.79	-1,344.12
		(2.73)	(701.75)	(2.66)	(636.97)	(1.49)	(365.64)	(1.31)	(307.29)	(0.35)	(109.44)	(0.51)	(122.71)	(0.94)	(266.11)	(1.03)	(198.21)
_Istate_46		-7.51	2,800.49	-7.94	2,701.70	11.46	6,013.44	11.85	6,045.38	2.96	-692.19	2.53	-802.03	-10.48	-2,378.50	-10.66	-2,491.83
		(2.44)	(476.91)	(2.38)	(447.87)	(1.33)	(248.49)	(1.18)	(215.35)	(0.31)	(74.37)	(0.47)	(88.52)	(0.84)	(180.85)	(0.95)	(140.46)
_Istate_47		8.00	-1,700.59	7.64	-1,846.97	9.40	-849.82	9.44	-888.07	2.35	144.55	1.98	28.51	0.12	-758.80	0.11	-881.96
		(1.81)	(638.07)	(1.76)	(602.44)	(0.99)	(332.46)	(0.87)	(290.71)	(0.23)	(99.51)	(0.34)	(116.21)	(0.63)	(241.96)	(0.68)	(186.77)
_Istate_48		7.82	-6,637.55	8.37	-6,904.00	0.20	-3,683.61	0.78	-3,789.72	4.11	-407.44	3.91	-445.41	-1.18	-363.39	-1.29	-384.73
		(1.32)	(67.85)	(1.38)	(101.16)	(0.72)	(35.35)	(0.68)	(49.17)	(0.17)	(10.58)	(0.25)	(16.75)	(0.45)	(25.73)	(0.51)	(31.72)
_Istate_49		-18.75	-2,666.60	-18.03	-3,137.44	-2.12	-663.03	-2.11	-744.18	3.55	-107.98	3.83	-337.73	-6.28	-1,874.95	-5.79	-2,041.15
		(1.86)	(696.65)	(1.96)	(636.64)	(1.01)	(362.99)	(0.96)	(305.70)	(0.24)	(108.64)	(0.38)	(119.71)	(0.64)	(264.17)	(0.76)	(201.46)
_Istate_50		-14.43	-3,259.19	-15.14	-3,269.17	8.57	-238.30	8.39	-180.41	6.70	-658.97	6.33	-758.86	-13.67	-2,977.25	-13.68	-2,999.16
		(2.13)	(210.32)	(2.11)	(216.17)	(1.16)	(109.59)	(1.04)	(103.74)	(0.27)	(32.80)	(0.41)	(42.15)	(0.74)	(79.75)	(0.82)	(67.32)
_Istate_51		-29.33	-793.07	-29.62	-785.07	-9.91	-275.80	-9.84	-331.61	3.25	264.99	2.95	263.07	-11.01	-1,278.82	-11.00	-1,217.53
		(1.21)	(196.25)	(1.24)	(165.84)	(0.66)	(102.25)	(0.61)	(79.80)	(0.16)	(30.60)	(0.24)	(32.14)	(0.42)	(74.42)	(0.48)	(50.98)
_Istate_53		-7.71	-4,171.39	-6.43	-4,318.65	4.44	-2,461.55	4.80	-2,462.42	3.50	485.85	3.83	370.56	-6.16	-1,325.89	-5.77	-1,434.07
		(1.86)	(696.65)	(1.93)	(633.40)	(1.01)	(362.99)	(0.95)	(305.58)	(0.24)	(108.64)	(0.37)	(122.45)	(0.64)	(264.17)	(0.75)	(195.81)
_Istate_54		-3.77	-3,163.77	-4.17	-3,394.79	4.61	-2,429.61	5.00	-2,420.25	0.54	-1,075.92	0.08	-1,216.60	-3.56	-162.36	-3.74	-300.73
		(2.72)	(713.80)	(2.65)	(652.97)	(1.48)	(371.92)	(1.31)	(315.35)	(0.35)	(111.32)	(0.52)	(128.20)	(0.94)	(270.68)	(1.04)	(202.02)
_Istate_55		-21.53	-3,317.64	-21.97	-3,453.70	0.20	-566.99	0.47	-545.18	5.36	-1,309.64	4.93	-1,436.20	-9.43	-735.84	-9.61	-850.57
		(2.73)	(701.75)	(2.66)	(642.25)	(1.49)	(365.64)	(1.31)	(309.49)	(0.35)	(109.44)	(0.52)	(124.42)	(0.94)	(266.11)	(1.04)	(199.92)
_Istate_56		92.05	4,925.14	91.13	5,748.30	77.50	2,683.02	77.45	3,314.04	8.24	-325.36	8.07	-438.46	-8.96	-1,441.48	-8.45	-1,288.22
		(0.52)	(158.52)	(0.57)	(171.76)	(0.28)	(82.60)	(0.28)	(81.70)	(0.07)	(24.72)	(0.09)	(27.57)	(0.18)	(60.11)	(0.19)	(54.71)
year			-4.30		-4.37		-2.16		-2.06		0.29		0.18		-1.52		-1.51
			(0.37)		(0.29)		(0.23)		(0.15)		(0.09)		(0.08)		(0.12)		(0.11)
_IstaXyear_2			1.81		1.71		2.61		2.55		-0.14		-0.26		0.66		0.72
			(0.30)		(0.27)		(0.16)		(0.13)		(0.05)		(0.05)		(0.11)		(0.08)
_IstaXyear_4			-2.37		-2.64		-0.80		-0.94		-0.34		-0.32		0.13		0.11
			(0.13)		(0.13)		(0.07)		(0.06)		(0.02)		(0.02)		(0.05)		(0.04)
_IstaXyear_5			-1.10		-0.95		-0.16		-0.08		0.03		0.11		-0.16		-0.10
			(0.35)		(0.32)		(0.18)		(0.15)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_6			1.06		1.17		1.17		1.15		-0.87		-0.78		0.64		0.71
			(0.35)		(0.32)		(0.18)		(0.15)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_8			1.30		1.43		1.60		1.61		-0.28		-0.21		0.46		0.56
			(0.35)		(0.32)		(0.18)		(0.15)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_9			3.84		3.89		1.75		1.72		0.23		0.25		0.82		0.83
			(0.08)		(0.08)		(0.04)		(0.04)		(0.01)		(0.02)		(0.03)		(0.03)
_IstaXyear_10			2.35		2.48		2.21		2.21		0.33		0.39		0.76		0.90
			(0.24)		(0.23)		(0.13)		(0.11)		(0.04)		(0.04)		(0.09)		(0.07)
_IstaXyear_11			-2.01		-2.59		1.48		1.32		-0.02		0.05		-2.00		-2.16
			(0.35)		(0.34)		(0.18)		(0.16)		(0.06)		(0.07)		(0.13)		(0.11)
_IstaXyear_12			1.31		1.43		1.23		1.32		0.02		0.04		0.36		0.36
			(0.07)		(0.10)		(0.04)		(0.05)		(0.01)		(0.02)		(0.03)		(0.03)
_IstaXyear_13			-2.16		-2.00		-0.77		-0.69		-0.12		-0.09		0.11		0.16
			(0.16)		(0.17)		(0.08)		(0.08)		(0.03)		(0.03)		(0.06)		(0.05)
_IstaXyear_15			3.95		4.17		1.74		1.80		0.04		0.04		1.69		1.81
			(0.07)		(0.08)		(0.04)		(0.04)		(0.01)		(0.02)		(0.03)		(0.03)
_IstaXyear_16			-0.37		-0.39		-0.97		-0.98		-0.07		0.01		1.17		1.21
			(0.23)		(0.21)		(0.12)		(0.10)		(0.04)		(0.04)		(0.09)		(0.07)
_IstaXyear_17			1.13		1.21		0.81		0.82		-0.10		-0.02		-0.05		-0.02
			(0.37)		(0.34)		(0.19)		(0.17)		(0.06)		(0.07)		(0.14)		(0.11)
_IstaXyear_18			1.29		1.39		0.41		0.40		0.15		0.22		0.28		0.35
